"id","user","message","date",
"2899","Administrator","Log File Saved","2013-10-21 15:24:29",
"2900","Administrator","Log File Emptied","2013-10-21 15:24:29",
"2901","marknden@gmail.com","log file saved and sent","2013-10-21 15:24:29",
"2902","0"," logged out","2013-10-23 15:02:14",
"2903","Admin01","Administrator  Admin01 signed in","2013-10-23 15:04:27",
"2904","Admin01","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; MDDSJS)","2013-10-23 15:04:27",
"2905","Admin01","Admin01 logged out","2013-10-23 15:05:40",
"2906","Admin01","Administrator  Admin01 signed in","2013-10-30 15:55:57",
"2907","Admin01","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; MDDSJS)","2013-10-30 15:55:57",
"2908","Admin01","Administrator  Admin01 signed in","2013-10-30 16:13:11",
"2909","Admin01","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; MDDSJS)","2013-10-30 16:13:11",
"2910","Admin01","Examinee Ben Ben edited by Admin01","2013-10-30 16:13:42",
"2911","Admin01","Admin01 logged out","2013-10-30 16:14:08",
"2912","jonathan","Invigilator jonathan  signed in","2013-10-30 16:14:13",
"2913","jonathan","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; MDDSJS)","2013-10-30 16:14:13",
"2914","1795","exam sequence built for Ben Ben","2013-10-30 16:14:16",
"2915","1795","exam started for Ben Ben","2013-10-30 16:14:21",
"2916","Admin01","Administrator  Admin01 signed in","2013-11-17 07:20:56",
"2917","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:24.0) Gecko/20100101 Firefox/24.0","2013-11-17 07:20:56",
"2918","Admin01","Admin01 logged out","2013-11-17 07:21:35",
"2919","Admin01","Administrator  Admin01 signed in","2013-11-17 08:46:28",
"2920","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:24.0) Gecko/20100101 Firefox/24.0","2013-11-17 08:46:28",
"2921","Admin01","Administrator  Admin01 signed in","2013-12-03 11:26:28",
"2922","Admin01","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDSJS; rv:11.0) like Gecko","2013-12-03 11:26:28",
"2923","Admin01","Examinee tom doe edited by Admin01","2013-12-03 11:26:51",
"2924","Admin01","Examinee tom doe edited by Admin01","2013-12-03 11:27:52",
"2925","Admin01","Invigilator Jon Doe added byAdmin01","2013-12-03 11:28:22",
"2926","Admin01","Invigilator Jon Doe edited byAdmin01","2013-12-03 11:28:49",
"2927","Admin01","Admin01 logged out","2013-12-03 11:29:00",
"2928","Admin01","Administrator  Admin01 signed in","2013-12-03 11:29:07",
"2929","Admin01","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDSJS; rv:11.0) like Gecko","2013-12-03 11:29:07",
"2930","Admin01","Examinee tom doe edited by Admin01","2013-12-03 11:29:20",
"2931","Admin01","Admin01 logged out","2013-12-03 11:29:23",
"2932","jon","Invigilator jon  signed in","2013-12-03 11:29:26",
"2933","jon","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDSJS; rv:11.0) like Gecko","2013-12-03 11:29:26",
"2934","1840","exam sequence built for tom doe","2013-12-03 11:29:30",
"2935","1840","exam started for tom doe","2013-12-03 11:29:32",
"2936","Admin01","Administrator  Admin01 signed in","2013-12-05 10:40:08",
"2937","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 10:40:08",
"2938","Admin01","Admin01 logged out","2013-12-05 10:41:02",
"2939","jon","Invigilator jon  signed in","2013-12-05 10:41:09",
"2940","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 10:41:09",
"2941","jon","jon logged out","2013-12-05 10:41:27",
"2942","jon","Invigilator jon  signed in","2013-12-05 11:00:09",
"2943","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 11:00:09",
"2944","jon","Invigilator jon  signed in","2013-12-05 11:49:19",
"2945","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 11:49:19",
"2946","jon","Invigilator jon  signed in","2013-12-05 12:09:53",
"2947","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 12:09:53",
"2948","jon","Invigilator jon  signed in","2013-12-05 12:10:08",
"2949","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 12:10:08",
"2950","jon","Invigilator jon  signed in","2013-12-05 13:18:05",
"2951","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 13:18:05",
"2952","jon","jon logged out","2013-12-05 13:34:39",
"2953","jon","Invigilator jon  signed in","2013-12-05 13:34:46",
"2954","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 13:34:46",
"2955","jon","jon logged out","2013-12-05 13:35:04",
"2956","jon","Invigilator jon  signed in","2013-12-05 13:35:10",
"2957","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 13:35:10",
"2958","jon","jon logged out","2013-12-05 14:39:26",
"2959","jon","Invigilator jon  signed in","2013-12-05 14:39:36",
"2960","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 14:39:36",
"2961","jon","Invigilator jon  signed in","2013-12-05 14:40:37",
"2962","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 14:40:37",
"2963","jon","Invigilator jon  signed in","2013-12-05 14:42:18",
"2964","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 14:42:18",
"2965","jon","jon logged out","2013-12-05 14:43:36",
"2966","jon","Invigilator jon  signed in","2013-12-05 14:43:45",
"2967","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 14:43:45",
"2968","jon","Invigilator jon  signed in","2013-12-05 14:45:04",
"2969","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 14:45:04",
"2970","jon","Invigilator jon  signed in","2013-12-05 14:47:21",
"2971","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:25.0) Gecko/20100101 Firefox/25.0","2013-12-05 14:47:21",
"2972","0"," logged out","2013-12-05 14:49:04",
"2973","jon","Invigilator jon  signed in","2013-12-05 14:49:13",
"2974","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36","2013-12-05 14:49:13",
"2975","jon","Invigilator jon  signed in","2013-12-05 14:50:59",
"2976","jon","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36","2013-12-05 14:50:59",
