"id","user","message","date",
"3671","Administrator","Log File Saved","2014-01-09 16:02:39",
"3672","Administrator","Log File Emptied","2014-01-09 16:02:39",
"3673","marknden@gmail.com","log file saved and sent","2014-01-09 16:02:40",
"3674","Admin01","Invigilator   added byAdmin01","2014-01-09 16:33:20",
"3675","Admin01","Admin01 logged out","2014-01-09 18:16:09",
"3676","Admin01","Administrator  Admin01 signed in","2014-01-09 18:16:38",
"3677","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/26.0","2014-01-09 18:16:38",
"3678","Admin01","Invigilator Arthur Bingham added byAdmin01","2014-01-09 18:18:37",
"3679","Admin01","Invigilator   added byAdmin01","2014-01-09 18:24:13",
"3680","Admin01","Administrator  Admin01 signed in","2014-01-14 14:42:27",
"3681","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/26.0","2014-01-14 14:42:27",
"3682","Admin01","Invigilator Bill Anderson added byAdmin01","2014-01-14 14:43:10",
"3683","Admin01","Invigilator James Test added byAdmin01","2014-01-14 14:47:11",
"3684","Admin01","Admin01 logged out","2014-01-14 14:48:16",
"3685","Admin01","Administrator  Admin01 signed in","2014-01-15 12:29:44",
"3686","Admin01","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDSJS; rv:11.0) like Gecko","2014-01-15 12:29:44",
"3687","Admin01","Invigilator Paris Voykin added byAdmin01","2014-01-15 13:41:54",
"3688","Admin01","Invigilator Paris Voykin edited byAdmin01","2014-01-15 13:42:51",
"3689","Admin01","Invigilator Paris Voykin edited byAdmin01","2014-01-15 13:44:55",
"3690","Admin01","Invigilator Paris Voykin edited byAdmin01","2014-01-15 13:45:51",
"3691","Admin01","Invigilator Paris Voykin edited byAdmin01","2014-01-15 13:46:10",
"3692","Admin01","Invigilator Cindy James added byAdmin01","2014-01-15 13:47:44",
"3693","Admin01","Invigilator Felicity Blaiklock added byAdmin01","2014-01-15 13:49:50",
"3694","Admin01","Invigilator Meghan Ginter  added byAdmin01","2014-01-15 13:51:16",
"3695","Admin01","Invigilator Abimbola Eke added byAdmin01","2014-01-15 13:52:26",
"3696","Admin01","Invigilator Jacqui Chow added byAdmin01","2014-01-15 13:54:46",
"3697","Admin01","Invigilator Gina Jenkins added byAdmin01","2014-01-15 13:56:41",
"3698","Admin01","Invigilator Karsten Provan added byAdmin01","2014-01-15 13:58:07",
"3699","Admin01","Invigilator Gina Jenkins edited byAdmin01","2014-01-15 13:58:27",
"3700","Admin01","Invigilator Linda Schroer added byAdmin01","2014-01-15 14:00:41",
"3701","Admin01","Invigilator Linda Schroer edited byAdmin01","2014-01-15 14:01:48",
"3702","Admin01","Invigilator VCC Assessments added byAdmin01","2014-01-15 14:05:27",
"3703","Admin01","Administrator  Admin01 signed in","2014-01-15 14:22:38",
"3704","Admin01","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDSJS; rv:11.0) like Gecko","2014-01-15 14:22:38",
"3705","Admin01","Invigilator Jonathan Ho added byAdmin01","2014-01-15 14:23:19",
"3706","Admin01","Invigilator Jonathan Ho welcome email sent by Admin01","2014-01-15 14:24:20",
"3707","Admin01","Examinee Jonathan Ho edited by Admin01","2014-01-15 14:29:44",
"3708","Admin01","Examinee Jonathan Ho edited by Admin01","2014-01-15 14:30:04",
"3709","Admin01","Examinee Jonathan Ho approval email sent by Admin01","2014-01-15 14:30:09",
"3710","Admin01","Invigilator Jonathan Ho approval email sent by Admin01","2014-01-15 14:30:09",
"3711","ctcmaadmin","Administrator  ctcmaadmin signed in","2014-01-15 14:31:18",
"3712","ctcmaadmin","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/26.0","2014-01-15 14:31:18",
"3713","ctcmaadmin","ctcmaadmin logged out","2014-01-15 14:31:27",
"3714","0"," logged out","2014-01-16 09:36:01",
"3715","ctcmaadmin","Administrator  ctcmaadmin signed in","2014-01-16 09:38:50",
"3716","ctcmaadmin","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDSJS; rv:11.0) like Gecko","2014-01-16 09:38:50",
